CONTAINER ID   IMAGE                                      COMMAND                  CREATED         STATUS                   PORTS                                                                                          NAMES
861a30455e11   healthcheck-api                            "/bin/sh -c 'python …"   9 minutes ago   Up 4 minutes (healthy)   127.0.0.1:8000->8000/tcp, 127.0.0.1:81->8000/tcp                                               healthos-api
1d95ae8adb7d   postgres:16                                "docker-entrypoint.s…"   16 hours ago    Up 4 minutes (healthy)   5432/tcp                                                                                       healthos-postgres
90624ba91279   postgres:16-alpine                         "docker-entrypoint.s…"   7 days ago      Up 2 hours (healthy)     5432/tcp                                                                                       nportal-postgres-1
572ab4ed6aaa   redis:7-alpine                             "docker-entrypoint.s…"   7 days ago      Up 2 hours (healthy)     6379/tcp                                                                                       nportal-redis-1
6b5e2abe543d   contacts-backend                           "docker-entrypoint.s…"   2 weeks ago     Up 2 hours               0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                                                    contacts-backend
fdb07c0bb5a9   redis:7-alpine                             "docker-entrypoint.s…"   2 weeks ago     Up 2 hours (healthy)     0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp                                                    shared-redis
3dd85063c654   postgres:16-alpine                         "docker-entrypoint.s…"   3 weeks ago     Up 2 hours (healthy)     0.0.0.0:55433->5432/tcp, [::]:55433->5432/tcp                                                  nportal-paperclip-tests-postgres-1
7239cfbe1083   postgres:16-alpine                         "docker-entrypoint.s…"   3 weeks ago     Up 2 hours (healthy)     0.0.0.0:58432->5432/tcp, [::]:58432->5432/tcp                                                  nportal-fixrun-postgres-1
b41ac07161ad   redis:7-alpine                             "docker-entrypoint.s…"   3 weeks ago     Up 2 hours (healthy)     0.0.0.0:58379->6379/tcp, [::]:58379->6379/tcp                                                  nportal-fixrun-redis-1
bb6852de140a   minio/minio:RELEASE.2025-09-07T16-13-09Z   "/usr/bin/docker-ent…"   3 weeks ago     Up 2 hours               0.0.0.0:59110->9000/tcp, [::]:59110->9000/tcp, 0.0.0.0:59111->9001/tcp, [::]:59111->9001/tcp   nportal-fixrun-minio-1
ad2c4dfbc4bd   getmeili/meilisearch:v1.14                 "tini -- /bin/sh -c …"   3 weeks ago     Up 2 hours               0.0.0.0:57710->7700/tcp, [::]:57710->7700/tcp                                                  nportal-fixrun-meilisearch-1
7234f05fb066   contacts-ocr-service-local                 "/opt/nvidia/nvidia_…"   3 weeks ago     Up 2 hours (healthy)     0.0.0.0:8003->8001/tcp, [::]:8003->8001/tcp                                                    contacts-ocr-service
1544a8ae3803   contacts-nlp-service                       "uvicorn app.main:ap…"   3 weeks ago     Up 2 hours (healthy)     0.0.0.0:8001->8001/tcp, [::]:8001->8001/tcp                                                    contacts-nlp-service
02b3db077901   contacts-frontend                          "docker-entrypoint.s…"   3 weeks ago     Up 2 hours               0.0.0.0:3001->4173/tcp, [::]:3001->4173/tcp                                                    contacts-frontend
3c1dec93f10a   contacts-miniapp                           "docker-entrypoint.s…"   3 weeks ago     Up 2 hours               0.0.0.0:4174->4174/tcp, [::]:4174->4174/tcp                                                    contacts-miniapp
0185330a4075   deploy-factory                             "docker-entrypoint.s…"   3 weeks ago     Up 2 hours               127.0.0.1:3004->3003/tcp                                                                       deploy-factory-1
af57cbf90344   shared-ocr-service:latest                  "/opt/nvidia/nvidia_…"   3 weeks ago     Up 2 hours (healthy)     0.0.0.0:8002->8001/tcp, [::]:8002->8001/tcp                                                    shared-ocr-service
1ef549bafc38   ollama/ollama:latest                       "/bin/ollama serve"      3 weeks ago     Up 2 hours               0.0.0.0:11434->11434/tcp, [::]:11434->11434/tcp                                                shared-ollama
0808dad452b7   minio/minio:RELEASE.2025-09-07T16-13-09Z   "/usr/bin/docker-ent…"   3 weeks ago     Up 2 hours               0.0.0.0:9000-9001->9000-9001/tcp, [::]:9000-9001->9000-9001/tcp                                nportal-minio-1
da0f9c0f5fa0   getmeili/meilisearch:v1.14                 "tini -- /bin/sh -c …"   3 weeks ago     Up 2 hours               0.0.0.0:7700->7700/tcp, [::]:7700->7700/tcp                                                    nportal-meilisearch-1
b299bfd8ef8e   nginx:alpine                               "/docker-entrypoint.…"   3 weeks ago     Up 2 hours               0.0.0.0:80->80/tcp, [::]:80->80/tcp                                                            contacts-nginx
aaa39fb6ec9b   postgres:16                                "docker-entrypoint.s…"   4 weeks ago     Up 2 hours (healthy)     0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                    contacts-postgres
f7bf198d5b0f   contacts-bull-board                        "/app/entrypoint.sh"     4 weeks ago     Up 2 hours               0.0.0.0:3003->3001/tcp, [::]:3003->3001/tcp                                                    contacts-bull-board
